0,6
370.33,6
380.33,6
390.33,6
400.33,6
410.33,6.5
420.33,7
430.33,7.5
440.33,8
450.33,8.5
460.33,9
470.33,9.5
480.33,10.19651566
490.33,10.06311108
500.33,10.17926573
510.33,10.02280502
520.33,10.17913752
530.33,10.15508272
540.33,10.12020863
550.33,10
560.33,9.5
570.33,9
580.33,8.5
590.33,8
600.33,7.5
610.33,7
620.33,6.5
630.33,6
640.33,5.5
650.33,5
660.33,4.5
670.33,4
680.33,3.5
690.33,3
700.33,2.5
710.33,2
720.33,1.735687698
730.33,1.612575815
740.33,1.678146004
750.33,1.732463479
760.33,1.683440417
770.33,1.553192511
780.33,1.736419308
790.33,1.719324224
800.33,1.620450525
810.33,1.767715042
820.33,1.734467961
830.33,1.707517185
840.33,1.667286555
850.33,1.69728961
860.33,1.657619904
870.33,1.527816005
880.33,1.737483223
890.33,1.768334902
900.33,1.77169846
910.33,1.4
920.33,1.3
930.33,1.2
940.33,1.1
950.33,0.8
960.33,0.75
970.33,0.6
980.33,0.4
990.33,0.2
1000.33,-0.033
1010.331,-0.266
1020.33,-0.5
1030.33,-0.654
1040.331,-0.849
1050.331,-1.04
1060.33,-1.272
1070.33,-1.489
1080.331,-1.711
1090.331,-1.973
1100.33,-2.238
1110.33,-2.552
1120.331,-2.819
1130.33,-3.076
1140.33,-3.369
1150.331,-3.643
1160.331,-3.891
1170.33,-4.194
1180.33,-4.528
1190.331,-4.803
1200.331,-5.061
1210.33,-5.323
1220.33,-5.586
1230.331,-5.812
1240.331,-5.992
1250.33,-6.104
1260.331,-6.164
1270.331,-6.085
1280.331,-5.809
1290.331,-5.266
1300.33,-4.619
1310.33,-4.202
1320.33,-4.156
1330.33,-4.338
1340.331,-4.591
1350.331,-4.86
1360.331,-5.158
1370.331,-5.473
1380.33,-5.777
1390.33,-6.08
1400.33,-6.362
1410.331,-6.639
1420.331,-6.904
1430.331,-7.163
1440.331,-7.406
1450.33,-7.637
1460.33,-7.836
1470.33,-8.019
1480.33,-8.211
1490.331,-8.381
1500.331,-8.524
1510.331,-8.668
1520.33,-8.847
1530.33,-9.017
1540.33,-9.193
1550.33,-9.382
1560.331,-9.541
1570.331,-9.661
1580.331,-9.77
1590.331,-9.879
1600.33,-9.963
1610.33,-10.026
1620.33,-10.092
1630.33,-10.172
1640.331,-10.249
1650.331,-10.31
1660.331,-10.35
1670.33,-10.398
1680.33,-10.423
