0.00,8.00
10.00,8.00
20.00,8.00
30.00,8.00
40.00,8.00
50.00,8.00
60.00,8.00
70.00,8.00
80.00,8.00
90.00,8.00
100.00,8.00
110.00,8.00
120.00,8.00
130.00,8.00
140.00,8.00
150.00,8.00
160.00,8.00
170.00,8.00
180.00,8.00
190.00,8.00
200.00,8.00
210.00,8.00
220.00,8.00
230.00,8.00
240.00,8.00
250.00,8.00
260.00,8.00
270.00,8.00
280.00,8.00
290.00,8.00
300.00,8.00
310.00,8.00
320.00,8.00
330.00,8.00
340.00,8.00
350.00,8.00
360.00,8.00
370.00,8.00
380.00,8.00
390.00,8.00
400.00,8.00
410.00,8.67
420.00,9.33
430.00,10.00
440.00,10.67
450.00,11.33
460.00,12.00
470.00,10.50
480.00,9.00
490.00,7.50
500.00,6.00
510.00,6.00
520.00,6.00
530.00,6.00
540.00,6.00
550.00,6.00
560.00,6.00
570.00,6.00
580.00,6.00
590.00,5.30
600.00,4.60
610.00,3.90
620.00,3.20
630.00,2.50
640.00,1.80
650.00,1.10
660.00,0.40
670.00,-0.11
680.00,-0.36
690.00,-0.61
700.00,-0.86
710.00,-1.11
720.00,-1.36
730.00,-1.61
740.00,-1.86
750.00,-2.11
760.00,-2.36
770.00,-2.61
780.00,-2.86
790.00,-3.11
800.00,-3.36
810.00,-3.61
820.00,-3.85
830.00,-4.10
840.00,-4.32
850.00,-4.51
860.00,-4.63
870.00,-4.65
880.00,-4.54
890.00,-4.35
900.00,-4.18
910.00,-4.15
920.00,-4.38
930.00,-4.87
940.00,-5.54
950.00,-6.23
960.00,-6.85
970.00,-7.36
980.00,-7.75
990.00,-8.07
1000.00,-8.10
1010.00,-8.19
1020.00,-8.28
1030.00,-8.37
1040.00,-8.46
1050.00,-8.55
1060.00,-8.64
1070.00,-8.73
1080.00,-8.82
1090.00,-8.91
1100.00,-9.00
1110.00,-9.09
1120.00,-9.18
1130.00,-9.27
1140.00,-9.36
1150.00,-9.45
1160.00,-9.54
1170.00,-9.63
1180.00,-9.72
1190.00,-9.81
1200.00,-9.90
1210.00,-9.99
1220.00,-10.08
1230.00,-10.17
1240.00,-10.26
1250.00,-10.35
1260.00,-10.44
1270.00,-10.53
1280.00,-10.62
1290.00,-10.71
1300.00,-10.80
1310.00,-10.89
1320.00,-10.98
1330.00,-11.07
1340.00,-11.16
1350.00,-11.25
1360.00,-11.34
1370.00,-11.43
1380.00,-11.52
1390.00,-11.61
1400.00,-11.70
1410.00,-11.79
1420.00,-11.88
1430.00,-11.97
1440.00,-12.06
1450.00,-12.15
1460.00,-12.24
1470.00,-12.33
1480.00,-12.42
1490.00,-12.51
1500.00,-12.60
1510.00,-12.69
1520.00,-12.78
1530.00,-12.87
1540.00,-12.96
1550.00,-13.05
1560.00,-13.14
1570.00,-13.23
1580.00,-13.32
1590.00,-13.41
1600.00,-13.50
1610.00,-13.59
1620.00,-13.68
1630.00,-13.77
1640.00,-13.86
1650.00,-13.95
1660.00,-14.04
1670.00,-14.13
1680.00,-14.22
1690.00,-14.31
1700.00,-14.40
1710.00,-14.49
1720.00,-14.58
1730.00,-14.67
1740.00,-14.76
1750.00,-14.85
1760.00,-14.94
1770.00,-15.03
1780.00,-15.12
1790.00,-15.21
1800.00,-15.30
1810.00,-15.39
1820.00,-15.48
1830.00,-15.57
1840.00,-15.66
1850.00,-15.75
1860.00,-15.84
1870.00,-15.93
1880.00,-16.02
1890.00,-16.11
1900.00,-16.20
1910.00,-16.29
1920.00,-16.38
1930.00,-16.47
1940.00,-16.56
1950.00,-16.65
1960.00,-16.74
1970.00,-16.83
1980.00,-16.92
1990.00,-17.01
2000.00,-17.10
2010.00,-17.19
2020.00,-17.28
2030.00,-17.37
2040.00,-17.46
2050.00,-17.55
2060.00,-17.64
2070.00,-17.73
2080.00,-17.82
2090.00,-17.91
2100.00,-18.00
2110.00,-18.09
2120.00,-18.18
2130.00,-18.27
2140.00,-18.36
2150.00,-18.45
2160.00,-18.54
2170.00,-18.63
2180.00,-18.72
2190.00,-18.81
2200.00,-18.90
2210.00,-18.99
2220.00,-19.08
2230.00,-19.17
2240.00,-19.26
2250.00,-19.35
2260.00,-19.44
2270.00,-19.53
2280.00,-19.62
2290.00,-19.71
2300.00,-19.80
2310.00,-19.89
2320.00,-19.98
2330.00,-20.07
2340.00,-20.16
2350.00,-20.25
2360.00,-20.34
